pathway,recall,d,p
PID_DNA_PK_PATHWAY,0,0,16
PID_INTEGRIN_CS_PATHWAY,0,0,26
PID_CONE_PATHWAY,0,0,23
PID_INTEGRIN2_PATHWAY,0,0,29
PID_RHODOPSIN_PATHWAY,0,0,23
PID_INTEGRIN5_PATHWAY,0,0,16
NABA_ECM_REGULATORS,0,0,235
NABA_PROTEOGLYCANS,0,0,35
NABA_BASEMENT_MEMBRANES,0,0,40
WP_TRANSSULFURATION_PATHWAY,0,0,10
WP_BENZENE_METABOLISM,0,0,6
WP_CODEINE_AND_MORPHINE_METABOLISM,0,0,15
WP_ALANINE_AND_ASPARTATE_METABOLISM,0,0,11
WP_PHASE_I_BIOTRANSFORMATIONS_NON_P450,0,0,8
WP_BENZOAPYRENE_METABOLISM,0,0,9
WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY,0,0,22
WP_VALPROIC_ACID_PATHWAY,0,0,13
WP_ZINC_HOMEOSTASIS,0,0,36
WP_EICOSANOID_SYNTHESIS,0,0,26
WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,0,0,16
WP_GLUCURONIDATION,0,0,26
WP_PENTOSE_PHOSPHATE_METABOLISM,0,0,7
WP_NUCLEOTIDE_GPCRS,0,0,11
WP_ESTROGEN_METABOLISM,0,0,17
WP_OXIDATIVE_PHOSPHORYLATION,0,0,52
WP_ARYLAMINE_METABOLISM,0,0,6
WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE,0,0,15
WP_CATALYTIC_CYCLE_OF_MAMMALIAN_FLAVINCONTAINING_MONOOXYGENASES_FMOS,0,0,5
WP_SEROTONIN_TRANSPORTER_ACTIVITY,0,0,11
WP_SCFA_AND_SKELETAL_MUSCLE_SUBSTRATE_METABOLISM,0,0,6
WP_GLOBO_SPHINGOLIPID_METABOLISM,0,0,20
WP_UREA_CYCLE_AND_METABOLISM_OF_AMINO_GROUPS,0,0,21
WP_HEME_BIOSYNTHESIS,0,0,9
WP_GLYCOLYSIS_AND_GLUCONEOGENESIS,0,0,45
WP_BLOOD_CLOTTING_CASCADE,0,0,23
WP_SULFATION_BIOTRANSFORMATION_REACTION,0,0,16
WP_METHYLATION_PATHWAYS,0,0,9
WP_TRYPTOPHAN_METABOLISM,0,0,41
WP_COMPLEMENT_ACTIVATION,0,0,22
WP_SEROTONIN_AND_ANXIETY,0,0,17
WP_ARACHIDONATE_EPOXYGENASE_EPOXIDE_HYDROLASE,0,0,7
WP_HFE_EFFECT_ON_HEPCIDIN_PRODUCTION,0,0,7
WP_STEROID_BIOSYNTHESIS,0,0,10
WP_LEPTIN_AND_ADIPONECTIN,0,0,10
WP_NAD_METABOLISM,0,0,16
WP_AFLATOXIN_B1_METABOLISM,0,0,7
WP_MONOAMINE_GPCRS,0,0,33
WP_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,0,0,5
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,0,0,181
WP_NICOTINE_METABOLISM,0,0,6
WP_CORI_CYCLE,0,0,17
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,0,0,15
WP_IRINOTECAN_PATHWAY,0,0,13
WP_SECRETION_OF_HYDROCHLORIC_ACID_IN_PARIETAL_CELLS,0,0,5
WP_TAMOXIFEN_METABOLISM,0,0,21
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,0,0,10
WP_ACETYLCHOLINE_SYNTHESIS,0,0,7
WP_GPCRS_CLASS_B_SECRETINLIKE,0,0,23
WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN,0,0,8
WP_MATRIX_METALLOPROTEINASES,0,0,29
WP_OXIDATION_BY_CYTOCHROME_P450,0,0,60
WP_IRON_METABOLISM_IN_PLACENTA,0,0,12
WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,0,0,17
WP_SULINDAC_METABOLIC_PATHWAY,0,0,5
WP_EFFECTS_OF_NITRIC_OXIDE,0,0,7
WP_ACE_INHIBITOR_PATHWAY,0,0,17
WP_TRIACYLGLYCERIDE_SYNTHESIS,0,0,24
WP_MEVALONATE_PATHWAY,0,0,7
WP_NAD_BIOSYNTHETIC_PATHWAYS,0,0,22
WP_BIOGENIC_AMINE_SYNTHESIS,0,0,15
WP_ETHANOL_EFFECTS_ON_HISTONE_MODIFICATIONS,0,0,30
WP_FATTY_ACID_OMEGA_OXIDATION,0,0,14
WP_SMALL_LIGAND_GPCRS,0,0,19
WP_GANGLIO_SPHINGOLIPID_METABOLISM,0,0,13
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE,0,0,17
WP_METHIONINE_METABOLISM_LEADING_TO_SULPHUR_AMINO_ACIDS_AND_RELATED_DISORDERS,0,0,11
WP_THE_ALTERNATIVE_PATHWAY_OF_FETAL_ANDROGEN_SYNTHESIS,0,0,10
WP_TRYPTOPHAN_CATABOLISM_LEADING_TO_NAD_PRODUCTION,0,0,16
WP_PYRIMIDINE_METABOLISM_AND_RELATED_DISEASES,0,0,17
WP_VITAMIN_B6DEPENDENT_AND_RESPONSIVE_DISORDERS,0,0,5
WP_THIAMINE_METABOLIC_PATHWAYS,0,0,9
WP_VITAMIN_B12_DISORDERS,0,0,13
WP_MITOCHONDRIAL_FATTY_ACID_SYNTHESIS_PATHWAY,0,0,5
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,0,0,50
WP_CYSTEINE_AND_METHIONINE_CATABOLISM,0,0,15
WP_GAMMAGLUTAMYL_CYCLE_FOR_THE_BIOSYNTHESIS_AND_DEGRADATION_OF_GLUTATHIONE_INCLUDING_DISEASES,0,0,9
WP_ASPIRIN_AND_MIRNAS,0,0,10
WP_GLYCOSYLATION_AND_RELATED_CONGENITAL_DEFECTS,0,0,25
WP_CLASSICAL_PATHWAY_OF_STEROIDOGENESIS_WITH_GLUCOCORTICOID_AND_MINERALOCORTICOID_METABOLISM,0,0,15
WP_COMPUTATIONAL_MODEL_OF_AEROBIC_GLYCOLYSIS,0,0,12
WP_AMINO_ACID_METABOLISM_PATHWAY_EXCERPT_HISTIDINE_CATABOLISM_EXTENSION,0,0,6
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR,0,0,96
WP_INTRAFLAGELLAR_TRANSPORT_PROTEINS_BINDING_TO_DYNEIN,0,0,24
WP_GLYCOSAMINOGLYCAN_DEGRADATION,0,0,17
WP_UREA_CYCLE_AND_RELATED_DISEASES,0,0,9
WP_KETOGENESIS_AND_KETOLYSIS,0,0,8
WP_BIOMARKERS_FOR_PYRIMIDINE_METABOLISM_DISORDERS,0,0,15
WP_BIOMARKERS_FOR_UREA_CYCLE_DISORDERS,0,0,12
WP_METABOLISM_OF_ALPHALINOLENIC_ACID,0,0,6
WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING,0,0,15
WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS,0,0,7
WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE,0,0,15
WP_EICOSANOID_METABOLISM_VIA_CYCLO_OXYGENASES_COX,0,0,30
WP_COVID19_THROMBOSIS_AND_ANTICOAGULATION,0,0,7
WP_MED_AND_PSEUDOACHONDROPLASIA_GENES,0,0,6
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME,0,0,10
WP_MITOCHONDRIAL_CIV_ASSEMBLY,0,0,32
WP_CELLULAR_PROTEOSTASIS,0,0,6
WP_MITOCHONDRIAL_CIII_ASSEMBLY,0,0,15
WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS,0,0,13
WP_7OXOC_AND_7BETAHC_PATHWAYS,0,0,27
WP_FLUOROACETIC_ACID_TOXICITY,0,0,6
WP_BIOTIN_METABOLISM_INCLUDING_IEMS,0,0,9
WP_RIBOFLAVIN_AND_COQ_DISORDERS,0,0,14
BIOCARTA_FEEDER_PATHWAY,0,0,9
BIOCARTA_SRCRPTP_PATHWAY,0,0,11
BIOCARTA_AMI_PATHWAY,0,0,20
BIOCARTA_ARAP_PATHWAY,0,0,17
BIOCARTA_ACE2_PATHWAY,0,0,13
BIOCARTA_DNAFRAGMENT_PATHWAY,0,0,10
BIOCARTA_RANKL_PATHWAY,0,0,14
BIOCARTA_CLASSIC_PATHWAY,0,0,14
BIOCARTA_COMP_PATHWAY,0,0,19
BIOCARTA_DC_PATHWAY,0,0,17
BIOCARTA_P35ALZHEIMERS_PATHWAY,0,0,8
BIOCARTA_EPHA4_PATHWAY,0,0,8
BIOCARTA_EXTRINSIC_PATHWAY,0,0,13
BIOCARTA_FIBRINOLYSIS_PATHWAY,0,0,12
BIOCARTA_FREE_PATHWAY,0,0,10
BIOCARTA_IL17_PATHWAY,0,0,15
BIOCARTA_IL5_PATHWAY,0,0,11
BIOCARTA_INTRINSIC_PATHWAY,0,0,23
BIOCARTA_LECTIN_PATHWAY,0,0,12
BIOCARTA_PLATELETAPP_PATHWAY,0,0,14
BIOCARTA_RAB_PATHWAY,0,0,13
BIOCARTA_EIF2_PATHWAY,0,0,10
BIOCARTA_PGC1A_PATHWAY,0,0,15
BIOCARTA_LEPTIN_PATHWAY,0,0,11
BIOCARTA_PARKIN_PATHWAY,0,0,7
BIOCARTA_VITCB_PATHWAY,0,0,11
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0,0,61
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0,0,27
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0,0,28
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0,0,32
KEGG_GALACTOSE_METABOLISM,0,0,26
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0,0,25
KEGG_STEROID_BIOSYNTHESIS,0,0,17
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0,0,16
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0,0,54
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0,0,30
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0,0,31
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0,0,44
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,0,0,8
KEGG_ARGININE_AND_PROLINE_METABOLISM,0,0,54
KEGG_HISTIDINE_METABOLISM,0,0,29
KEGG_TYROSINE_METABOLISM,0,0,41
KEGG_PHENYLALANINE_METABOLISM,0,0,18
KEGG_TRYPTOPHAN_METABOLISM,0,0,39
KEGG_BETA_ALANINE_METABOLISM,0,0,22
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0,0,10
KEGG_SELENOAMINO_ACID_METABOLISM,0,0,25
KEGG_STARCH_AND_SUCROSE_METABOLISM,0,0,51
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0,0,42
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0,0,22
KEGG_PYRUVATE_METABOLISM,0,0,40
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0,0,16
KEGG_PROPANOATE_METABOLISM,0,0,32
KEGG_BUTANOATE_METABOLISM,0,0,34
KEGG_FOLATE_BIOSYNTHESIS,0,0,11
KEGG_RETINOL_METABOLISM,0,0,63
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0,0,40
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0,0,15
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0,0,10
KEGG_NITROGEN_METABOLISM,0,0,23
KEGG_SULFUR_METABOLISM,0,0,13
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0,0,69
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0,0,71
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0,0,51
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0,0,22
KEGG_ABC_TRANSPORTERS,0,0,44
KEGG_RNA_POLYMERASE,0,0,27
KEGG_PROTEASOME,0,0,44
KEGG_PROTEIN_EXPORT,0,0,23
KEGG_REGULATION_OF_AUTOPHAGY,0,0,34
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0,0,69
KEGG_ASTHMA,0,0,28
PID_INTEGRIN4_PATHWAY,0,0,11
SA_MMP_CYTOKINE_CONNECTION,0,0,15
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0,0,7
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0,0,6
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,0,0,7
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,0,0,5
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,50
REACTOME_NEUROTRANSMITTER_CLEARANCE,0,0,10
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,0,0,9
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,0,0,26
REACTOME_DISINHIBITION_OF_SNARE_FORMATION,0,0,5
REACTOME_FERTILIZATION,0,0,26
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,0,0,36
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,0,0,8
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0,0,50
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,0,0,13
REACTOME_METHIONINE_SALVAGE_PATHWAY,0,0,6
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,0,0,9
REACTOME_CA2_ACTIVATED_K_CHANNELS,0,0,9
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,0,0,43
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS,0,0,12
REACTOME_SPERM_MOTILITY_AND_TAXES,0,0,9
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0,0,6
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,0,0,16
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,0,0,13
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0,0,18
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,0,0,16
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0,0,7
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0,0,5
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0,0,23
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0,0,21
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,0,0,38
REACTOME_BETA_DEFENSINS,0,0,41
REACTOME_DEFENSINS,0,0,49
REACTOME_ALPHA_DEFENSINS,0,0,8
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,0,0,12
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0,0,26
REACTOME_ACYL_CHAIN_REMODELING_OF_CL,0,0,6
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0,0,21
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0,0,24
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,0,0,7
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0,0,16
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0,0,18
REACTOME_HYDROLYSIS_OF_LPC,0,0,9
REACTOME_SYNTHESIS_OF_PG,0,0,8
REACTOME_SYNTHESIS_OF_PA,0,0,39
REACTOME_SYNTHESIS_OF_PC,0,0,28
REACTOME_SYNTHESIS_OF_PI,0,0,5
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE,0,0,5
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0,0,108
REACTOME_METHYLATION,0,0,14
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES,0,0,23
REACTOME_AMINO_ACID_CONJUGATION,0,0,9
REACTOME_GLUCURONIDATION,0,0,25
REACTOME_GLUTATHIONE_CONJUGATION,0,0,36
REACTOME_ELASTIC_FIBRE_FORMATION,0,0,44
REACTOME_FIBRONECTIN_MATRIX_FORMATION,0,0,6
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,0,0,10
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,0,0,11
REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN,0,0,5
REACTOME_SULFIDE_OXIDATION_TO_SULFATE,0,0,6
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,0,0,14
REACTOME_SULFUR_AMINO_ACID_METABOLISM,0,0,27
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,0,0,28
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,0,0,18
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,0,0,7
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,0,0,93
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,0,0,16
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION,0,0,8
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,0,0,34
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,0,0,18
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,0,0,16
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE,0,0,11
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,0,0,44
REACTOME_MITOCHONDRIAL_UNCOUPLING,0,0,6
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,0,0,12
REACTOME_COMPLEMENT_CASCADE,0,0,56
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION,0,0,8
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,0,0,22
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT,0,0,8
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,0,0,14
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0,0,23
REACTOME_THE_FATTY_ACID_CYCLING_MODEL,0,0,5
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,0,0,13
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS,0,0,10
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY,0,0,10
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY,0,0,14
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0,0,5
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,0,0,24
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS,0,0,6
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,0,0,12
REACTOME_ACTIVATION_OF_C3_AND_C5,0,0,7
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,0,0,16
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,0,0,20
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,0,0,20
REACTOME_PHOSPHORYLATION_OF_EMI1,0,0,6
REACTOME_UNWINDING_OF_DNA,0,0,12
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE,0,0,6
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,17
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,18
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0,0,14
REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION,0,0,7
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL,0,0,10
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL,0,0,14
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE,0,0,11
REACTOME_GAP_JUNCTION_ASSEMBLY,0,0,36
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE,0,0,19
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0,0,25
REACTOME_DIGESTION_OF_DIETARY_LIPID,0,0,7
REACTOME_ANDROGEN_BIOSYNTHESIS,0,0,10
REACTOME_ESTROGEN_BIOSYNTHESIS,0,0,6
REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1,0,0,6
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,0,0,11
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,0,0,14
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS,0,0,6
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,0,0,10
REACTOME_METABOLISM_OF_STEROID_HORMONES,0,0,34
REACTOME_PREGNENOLONE_BIOSYNTHESIS,0,0,12
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,0,0,21
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,0,0,17
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0,0,11
REACTOME_COENZYME_A_BIOSYNTHESIS,0,0,8
REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,0,0,11
REACTOME_NICOTINATE_METABOLISM,0,0,31
REACTOME_VITAMIN_B1_THIAMIN_METABOLISM,0,0,5
REACTOME_VITAMIN_C_ASCORBATE_METABOLISM,0,0,8
REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM,0,0,7
REACTOME_NICOTINAMIDE_SALVAGING,0,0,19
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0,0,17
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL,0,0,8
REACTOME_G_PROTEIN_ACTIVATION,0,0,28
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,0,0,17
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,0,0,28
REACTOME_KERATAN_SULFATE_DEGRADATION,0,0,13
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,0,0,20
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS,0,0,11
REACTOME_CS_DS_DEGRADATION,0,0,14
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0,0,13
REACTOME_LINOLEIC_ACID_LA_METABOLISM,0,0,8
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS,0,0,16
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES,0,0,18
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS,0,0,5
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,0,0,14
REACTOME_THYROXINE_BIOSYNTHESIS,0,0,10
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,0,0,24
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS,0,0,5
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,0,0,8
REACTOME_BASIGIN_INTERACTIONS,0,0,25
REACTOME_VITAMINS,0,0,6
